Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ukraine,911393.9717345288,816832.0791008819,761954.2590834142,678270.1457717473,567927.5127873555,529982.3355079911,487696.77333826997,477165.14924627077,452814.7098918313,418752.5512113614,405004.9857227269,428631.81504296756,416233.2460177049,419058.42489746684,433545.6359680205,433455.730641549,448037.2865881008,449344.36205932935,451991.107991039,385785.26986245374,398348.9546665679,437358.7289515637,422863.48159322486,428229.9218688093,382823.46477305883,338908.7313185636,361957.60407551564,336726.3055264579,364731.316385038,357449.86286185257,317632.04434453166
United Kingdom of Great Britain and Northern Ireland,817454.3198581907,825813.5427902505,804700.0936534555,785148.4714632112,772526.1251286402,766462.6313039309,786184.4883430046,761472.9052685311,759255.3300847942,730371.899381018,730246.2862552139,732743.2242904361,710728.1780235859,716018.6263462105,711783.8293683222,703077.0615743698,695269.326712533,682762.6171113611,660627.0430734991,603716.7330451506,617481.946550461,571393.7685699476,587662.0542650231,573318.9412787464,532315.1838804927,514969.7107791374,489458.28904416255,477763.2702632461,469377.03415504214,455063.0181866343,410224.0392072604
United States of America,5606376.531252693,5531222.092678344,5652355.91754691,5776447.19786331,5871586.581285575,5973118.277787973,6157175.359253399,6229354.085303584,6274639.196892989,6328900.894492759,6533374.784374166,6410951.9488219535,6496664.7123028925,6524558.969006192,6754775.293164382,6696263.743450507,6589491.6483861655,6737347.3157313485,6531127.295188469,6120284.539568482,6307176.800324899,6115978.535866366,5884941.229451039,6092439.674047422,6129688.86963585,6065495.1245029485,5763094.601206184,5787628.431674289,5989701.8874265365,5913871.787730807,5249805.2778999
Source: UNFCCC GHG Data Interface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 3: – means ""No data available""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 4: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 5: Data expressed in CO2 equivalent are in accordance with the global warming potential values (GWPs) used by Parties in their submission. Please refer to the “Notes on GHG data” available on the UNFCCC website for additional information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note 6: Data displayed for Australia reflects their GHG Inventory submission on 16 September 2022. The latest data submitted by Australia in 2023, including the CRT and NIR submission made under the Paris Agreement, are available on the UNFCCC website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report produced on Tuesday, 10 June 2025 14:35:06 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
