Country,Year,Emissions
Slovenia,2013,13074.676159070466
Spain,2013,280190.4750780856
Sweden,2013,6017.480861144551
Switzerland,2013,51618.72624882639
Türkiye,2013,363707.4766793686
Ukraine,2013,428229.9218688093
United Kingdom of Great Britain and Northern Ireland,2013,573318.9412787464
United States of America,2013,6092439.674047422
Australia,2014,548935.9207026996
Austria,2014,69050.39247428793
Belarus,2014,47769.02683537075
Belgium,2014,113971.73161677436
Bulgaria,2014,49365.03243767638
Canada,2014,680879.488803606
Croatia,2014,18151.104736562607
Cyprus,2014,7995.8064231040335
Czechia,2014,120045.66623301899
Denmark,2014,55518.80947495284
Estonia,2014,20780.627586449766
European Union (Convention),2014,3436530.2949773045
Finland,2014,37758.79351484854
France,2014,415983.87792166386
Germany,2014,884395.1376233336
Greece,2014,99229.86790503844
Hungary,2014,53890.693668122636
Iceland,2014,14216.587656662346
Ireland,2014,65047.68435832312
Italy,2014,393484.6152263459
Japan,2014,1294776.5540374657
Kazakhstan,2014,361651.31168142497
Latvia,2014,12116.739359312503
Liechtenstein,2014,217.68878732108456
Lithuania,2014,11071.60561948385
Luxembourg,2014,10362.843541757891
Malta,2014,2803.034244570674
Monaco,2014,85.13068725198038
Netherlands,2014,192501.91314585498
New Zealand,2014,52788.787306830694
Norway,2014,35700.813576072076
Poland,2014,347583.5878722294
Portugal,2014,58925.993625332114
Romania,2014,67009.77081812186
Russian Federation,2014,1380210.765163917
Slovakia,2014,34907.74895536082
Slovenia,2014,17435.148913130968
Spain,2014,279804.256933381
Sweden,2014,5804.530785539505
Switzerland,2014,49264.35890717787
Türkiye,2014,382612.0157211394
Ukraine,2014,382823.46477305883
United Kingdom of Great Britain and Northern Ireland,2014,532315.1838804927
United States of America,2014,6129688.86963585
Australia,2015,537823.5770274521
Austria,2015,72321.36595069939
Belarus,2015,44498.79596766738
